1759103142.049233 server started (25535): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1759103142.049248 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1759103142.049252 using libevent 2.1.12-stable poll
1759103142.049254 using ncurses 6.4 20240113
1759103142.049579 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1759103142.049581 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1759103142.049583 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1759103142.049584 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1759103142.049586 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1759103142.049588 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1759103142.049589 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1759103142.049591 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1759103142.049597 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1759103142.049598 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1759103142.049600 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1759103142.049602 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1759103142.049603 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1759103142.049605 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1759103142.049607 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1759103142.049608 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1759103142.049610 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1759103142.049612 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1759103142.049613 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1759103142.049615 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1759103142.049617 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1759103142.049618 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1759103142.049620 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1759103142.049622 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1759103142.049623 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1759103142.049625 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1759103142.049627 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1759103142.049628 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1759103142.049630 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1759103142.049632 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1759103142.049633 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1759103142.049635 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1759103142.049637 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1759103142.049638 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1759103142.049640 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1759103142.049642 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1759103142.049643 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1759103142.049645 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1759103142.049649 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1759103142.049651 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1759103142.049652 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1759103142.049654 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1759103142.049656 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1759103142.049657 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1759103142.049659 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1759103142.049661 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1759103142.049663 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1759103142.049664 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1759103142.049666 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1759103142.049668 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1759103142.049669 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1759103142.049671 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1759103142.049673 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1759103142.049675 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1759103142.049676 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1759103142.049691 yylex_token: end at WS
1759103142.049692 yylex_token: bind
1759103142.049695 yylex_token: end at WS
1759103142.049696 yylex_token: -N
1759103142.049698 yylex_token: end at WS
1759103142.049700 yylex_token: Send the prefix key
1759103142.049702 yylex_token: end at WS
1759103142.049703 yylex_token: C-b
1759103142.049705 yylex_token: end at WS
1759103142.049706 yylex_token: send-prefix
1759103142.049712 cmd_parse_build_commands 0:0: bind
1759103142.049717 cmd_parse_build_commands 0:1: -N
1759103142.049719 cmd_parse_build_commands 0:2: Send the prefix key
1759103142.049720 cmd_parse_build_commands 0:3: C-b
1759103142.049722 cmd_parse_build_commands 0:4 0:0: send-prefix
1759103142.049728 cmd_parse_build_commands 0:0: send-prefix
1759103142.049734 args_parse: flags end at 1 of 1
1759103142.049736 cmd_parse_build_commands: send-prefix
1759103142.049738 args_parse_flags: next -N
1759103142.049740 args_parse_flag_argument: -N = Send the prefix key
1759103142.049747 args_parse_flags: next C-b
1759103142.049748 args_parse: flags end at 3 of 5
1759103142.049750 args_parse: 3 = C-b (type STRING)
1759103142.049752 args_parse: 4 = send-prefix (type COMMANDS)
1759103142.050066 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1759103142.050071 cmdq_get_command: [bind-key/0x63fd324199e0] group 2
1759103142.050074 cmdq_append <global>: [bind-key/0x63fd324199e0]
1759103142.050077 yylex_token: end at WS
1759103142.050078 yylex_token: bind
1759103142.050080 yylex_token: end at WS
1759103142.050082 yylex_token: -N
1759103142.050084 yylex_token: end at WS
1759103142.050085 yylex_token: Rotate through the panes
1759103142.050087 yylex_token: end at WS
1759103142.050088 yylex_token: C-o
1759103142.050090 yylex_token: end at WS
1759103142.050092 yylex_token: rotate-window
1759103142.050094 cmd_parse_build_commands 0:0: bind
1759103142.050096 cmd_parse_build_commands 0:1: -N
1759103142.050098 cmd_parse_build_commands 0:2: Rotate through the panes
1759103142.050100 cmd_parse_build_commands 0:3: C-o
1759103142.050102 cmd_parse_build_commands 0:4 0:0: rotate-window
1759103142.050106 cmd_parse_build_commands 0:0: rotate-window
1759103142.050112 args_parse: flags end at 1 of 1
1759103142.050115 cmd_parse_build_commands: rotate-window
1759103142.050117 args_parse_flags: next -N
1759103142.050120 args_parse_flag_argument: -N = Rotate through the panes
1759103142.050122 args_parse_flags: next C-o
1759103142.050124 args_parse: flags end at 3 of 5
1759103142.050127 args_parse: 3 = C-o (type STRING)
1759103142.050129 args_parse: 4 = rotate-window (type COMMANDS)
1759103142.050134 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1759103142.050138 cmdq_get_command: [bind-key/0x63fd32419f80] group 10
1759103142.050140 cmdq_append <global>: [bind-key/0x63fd32419f80]
1759103142.050143 yylex_token: end at WS
1759103142.050146 yylex_token: bind
1759103142.050148 yylex_token: end at WS
1759103142.050150 yylex_token: -N
1759103142.050152 yylex_token: end at WS
1759103142.050154 yylex_token: Suspend the current client
1759103142.050157 yylex_token: end at WS
1759103142.050158 yylex_token: C-z
1759103142.050161 yylex_token: end at WS
1759103142.050163 yylex_token: suspend-client
1759103142.050165 cmd_parse_build_commands 0:0: bind
1759103142.050167 cmd_parse_build_commands 0:1: -N
1759103142.050169 cmd_parse_build_commands 0:2: Suspend the current client
1759103142.050170 cmd_parse_build_commands 0:3: C-z
1759103142.050172 cmd_parse_build_commands 0:4 0:0: suspend-client
1759103142.050175 cmd_parse_build_commands 0:0: suspend-client
1759103142.050178 args_parse: flags end at 1 of 1
1759103142.050180 cmd_parse_build_commands: suspend-client
1759103142.050182 args_parse_flags: next -N
1759103142.050183 args_parse_flag_argument: -N = Suspend the current client
1759103142.050185 args_parse_flags: next C-z
1759103142.050186 args_parse: flags end at 3 of 5
1759103142.050188 args_parse: 3 = C-z (type STRING)
1759103142.050190 args_parse: 4 = suspend-client (type COMMANDS)
1759103142.050193 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1759103142.050195 cmdq_get_command: [bind-key/0x63fd3241b070] group 18
1759103142.050197 cmdq_append <global>: [bind-key/0x63fd3241b070]
1759103142.050199 yylex_token: end at WS
1759103142.050201 yylex_token: bind
1759103142.050203 yylex_token: end at WS
1759103142.050204 yylex_token: -N
1759103142.050206 yylex_token: end at WS
1759103142.050207 yylex_token: Select next layout
1759103142.050215 yylex_token: end at WS
1759103142.050216 yylex_token: Space
1759103142.050218 yylex_token: end at WS
1759103142.050220 yylex_token: next-layout
1759103142.050222 cmd_parse_build_commands 0:0: bind
1759103142.050223 cmd_parse_build_commands 0:1: -N
1759103142.050225 cmd_parse_build_commands 0:2: Select next layout
1759103142.050227 cmd_parse_build_commands 0:3: Space
1759103142.050228 cmd_parse_build_commands 0:4 0:0: next-layout
1759103142.050230 cmd_parse_build_commands 0:0: next-layout
1759103142.050233 args_parse: flags end at 1 of 1
1759103142.050235 cmd_parse_build_commands: next-layout
1759103142.050236 args_parse_flags: next -N
1759103142.050238 args_parse_flag_argument: -N = Select next layout
1759103142.050240 args_parse_flags: next Space
1759103142.050241 args_parse: flags end at 3 of 5
1759103142.050243 args_parse: 3 = Space (type STRING)
1759103142.050244 args_parse: 4 = next-layout (type COMMANDS)
1759103142.050247 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1759103142.050249 cmdq_get_command: [bind-key/0x63fd3241b810] group 26
1759103142.050251 cmdq_append <global>: [bind-key/0x63fd3241b810]
1759103142.050253 yylex_token: end at WS
1759103142.050255 yylex_token: bind
1759103142.050256 yylex_token: end at WS
1759103142.050258 yylex_token: -N
1759103142.050260 yylex_token: end at WS
1759103142.050261 yylex_token: Break pane to a new window
1759103142.050263 yylex_token: end at WS
1759103142.050264 yylex_token: !
1759103142.050266 yylex_token: end at WS
1759103142.050267 yylex_token: break-pane
1759103142.050269 cmd_parse_build_commands 0:0: bind
1759103142.050271 cmd_parse_build_commands 0:1: -N
1759103142.050272 cmd_parse_build_commands 0:2: Break pane to a new window
1759103142.050274 cmd_parse_build_commands 0:3: !
1759103142.050276 cmd_parse_build_commands 0:4 0:0: break-pane
1759103142.050278 cmd_parse_build_commands 0:0: break-pane
1759103142.050280 args_parse: flags end at 1 of 1
1759103142.050281 cmd_parse_build_commands: break-pane
1759103142.050283 args_parse_flags: next -N
1759103142.050285 args_parse_flag_argument: -N = Break pane to a new window
1759103142.050286 args_parse_flags: next !
1759103142.050288 args_parse: flags end at 3 of 5
1759103142.050289 args_parse: 3 = ! (type STRING)
1759103142.050291 args_parse: 4 = break-pane (type COMMANDS)
1759103142.050294 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1759103142.050296 cmdq_get_command: [bind-key/0x63fd3241be30] group 34
1759103142.050298 cmdq_append <global>: [bind-key/0x63fd3241be30]
1759103142.050300 yylex_token: end at WS
1759103142.050301 yylex_token: bind
1759103142.050303 yylex_token: end at WS
1759103142.050304 yylex_token: -N
1759103142.050306 yylex_token: end at WS
1759103142.050307 yylex_token: Split window vertically
1759103142.050309 yylex_token: end at WS
1759103142.050310 yylex_token: "
1759103142.050312 yylex_token: end at WS
1759103142.050314 yylex_token: split-window
1759103142.050315 cmd_parse_build_commands 0:0: bind
1759103142.050317 cmd_parse_build_commands 0:1: -N
1759103142.050319 cmd_parse_build_commands 0:2: Split window vertically
1759103142.050320 cmd_parse_build_commands 0:3: "
1759103142.050322 cmd_parse_build_commands 0:4 0:0: split-window
1759103142.050324 cmd_parse_build_commands 0:0: split-window
1759103142.050326 args_parse: flags end at 1 of 1
1759103142.050328 cmd_parse_build_commands: split-window
1759103142.050330 args_parse_flags: next -N
1759103142.050332 args_parse_flag_argument: -N = Split window vertically
1759103142.050333 args_parse_flags: next "
1759103142.050335 args_parse: flags end at 3 of 5
1759103142.050336 args_parse: 3 = " (type STRING)
1759103142.050338 args_parse: 4 = split-window (type COMMANDS)
1759103142.050341 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1759103142.050343 cmdq_get_command: [bind-key/0x63fd324178b0] group 42
1759103142.050345 cmdq_append <global>: [bind-key/0x63fd324178b0]
1759103142.050347 yylex_token: end at WS
1759103142.050352 yylex_token: bind
1759103142.050354 yylex_token: end at WS
1759103142.050356 yylex_token: -N
1759103142.050357 yylex_token: end at WS
1759103142.050359 yylex_token: List all paste buffers
1759103142.050360 yylex_token: end at WS
1759103142.050362 yylex_token: #
1759103142.050364 yylex_token: end at WS
1759103142.050365 yylex_token: list-buffers
1759103142.050367 cmd_parse_build_commands 0:0: bind
1759103142.050369 cmd_parse_build_commands 0:1: -N
1759103142.050370 cmd_parse_build_commands 0:2: List all paste buffers
1759103142.050372 cmd_parse_build_commands 0:3: #
1759103142.050374 cmd_parse_build_commands 0:4 0:0: list-buffers
1759103142.050376 cmd_parse_build_commands 0:0: list-buffers
1759103142.050378 args_parse: flags end at 1 of 1
1759103142.050380 cmd_parse_build_commands: list-buffers
1759103142.050381 args_parse_flags: next -N
1759103142.050383 args_parse_flag_argument: -N = List all paste buffers
1759103142.050385 args_parse_flags: next #
1759103142.050386 args_parse: flags end at 3 of 5
1759103142.050388 args_parse: 3 = # (type STRING)
1759103142.050389 args_parse: 4 = list-buffers (type COMMANDS)
1759103142.050392 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1759103142.050394 cmdq_get_command: [bind-key/0x63fd32417fa0] group 50
1759103142.050396 cmdq_append <global>: [bind-key/0x63fd32417fa0]
1759103142.050402 yylex_token: end at WS
1759103142.050404 yylex_token: bind
1759103142.050405 yylex_token: end at WS
1759103142.050406 yylex_token: -N
1759103142.050408 yylex_token: end at WS
1759103142.050410 yylex_token: Rename current session
1759103142.050411 yylex_token: end at WS
1759103142.050413 yylex_token: $
